----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2024-12-27T19:39:24--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 12--------------------------
--------------------Total Physical Memory 27.89 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2024-12-27T19:39:24.5925|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2024-12-27T19:39:25.1465|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2024-12-27T19:39:25.2697|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2024-12-27T19:39:25.2702|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2024-12-27T19:39:26.3441|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2024-12-27T19:39:26.3791|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2024-12-27T19:39:26.4306|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2024-12-27T19:39:26.5085|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2024-12-27T19:39:26.6410|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2024-12-27T19:39:26.6958|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2024-12-27T19:39:26.7015|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2024-12-27T19:39:27.1655|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 55.85 GB
