----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2024-11-11T18:43:26--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.22631---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 12--------------------------
--------------------Total Physical Memory 27.89 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2024-11-11T18:43:26.8544|ERROR|ProfileService.cs|MigrateModularizedSolutionNamespaceChange|445|Failed to migrate profile C:\Users\AMOS\AppData\Local\NINA\Profiles\4efc0507-b521-49ce-88b6-96e9d454c1a7.profile due to 
System.IO.IOException: The process cannot access the file 'C:\Users\AMOS\AppData\Local\NINA\Profiles\4efc0507-b521-49ce-88b6-96e9d454c1a7.profile' because it is being used by another process.
   at Microsoft.Win32.SafeHandles.SafeFileHandle.CreateFile(String fullPath, FileMode mode, FileAccess access, FileShare share, FileOptions options)
   at Microsoft.Win32.SafeHandles.SafeFileHandle.Open(String fullPath, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.Strategies.OSFileStreamStrategy..ctor(String path, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.Strategies.FileStreamHelpers.ChooseStrategyCore(String path, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.StreamReader.ValidateArgsAndOpenPath(String path, Encoding encoding, Int32 bufferSize)
   at System.IO.File.ReadAllText(String path, Encoding encoding)
   at NINA.Profile.ProfileService.MigrateModularizedSolutionNamespaceChange() in C:\Projects\nina\NINA.Profile\ProfileService.cs:line 419
2024-11-11T18:43:27.4228|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2024-11-11T18:43:27.4548|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2024-11-11T18:43:27.6812|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2024-11-11T18:43:27.6816|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2024-11-11T18:43:28.6892|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2024-11-11T18:43:28.7207|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2024-11-11T18:43:28.7234|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
