----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2024-12-25T18:02:01--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 12--------------------------
--------------------Total Physical Memory 27.89 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2024-12-25T18:02:01.5774|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2024-12-25T18:02:01.7856|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2024-12-25T18:02:01.9470|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2024-12-25T18:02:01.9475|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2024-12-25T18:02:02.9691|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2024-12-25T18:02:03.0038|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2024-12-25T18:02:03.0071|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2024-12-25T18:02:03.0109|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2024-12-25T18:02:03.0676|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2024-12-25T18:02:03.0725|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2024-12-25T18:02:03.0778|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2024-12-25T18:02:03.3942|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 49.84 GB
2024-12-25T18:02:03.3943|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 4446.96 GB
2024-12-25T18:02:03.3953|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive E:\ is not ready
2024-12-25T18:02:03.3971|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 6.6.2.4195 installed
2024-12-25T18:02:03.4000|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive F:\ is not ready
2024-12-25T18:02:03.7906|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin ASA Tools version 3.1.2.0 by Gerald Hitz (photon)
