----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2024-12-30T16:59:45--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 12--------------------------
--------------------Total Physical Memory 27.89 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2024-12-30T16:59:44.7401|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2024-12-30T16:59:46.0682|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2024-12-30T16:59:46.1780|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2024-12-30T16:59:46.1786|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2024-12-30T16:59:47.3573|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2024-12-30T16:59:47.4366|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2024-12-30T16:59:47.5700|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2024-12-30T16:59:47.7256|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2024-12-30T16:59:47.9560|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2024-12-30T16:59:48.1326|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2024-12-30T16:59:48.1364|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2024-12-30T16:59:48.6225|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 93.23 GB
2024-12-30T16:59:48.6227|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 4349.01 GB
