----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2024-12-12T17:33:34--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.22631---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 12--------------------------
--------------------Total Physical Memory 27.89 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2024-12-12T17:33:34.0717|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2024-12-12T17:33:35.2959|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2024-12-12T17:33:35.3881|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2024-12-12T17:33:35.3885|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2024-12-12T17:33:36.6838|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2024-12-12T17:33:36.8000|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2024-12-12T17:33:36.9411|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2024-12-12T17:33:37.1488|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2024-12-12T17:33:37.3900|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2024-12-12T17:33:37.8834|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2024-12-12T17:33:37.8881|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2024-12-12T17:33:38.4274|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 70.49 GB
2024-12-12T17:33:38.4276|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 4454.81 GB
2024-12-12T17:33:38.4284|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive E:\ is not ready
2024-12-12T17:33:38.4286|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 6.6.2.4195 installed
2024-12-12T17:33:38.4466|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive F:\ is not ready
2024-12-12T17:33:38.7233|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin ASA Tools version 3.1.2.0 by Gerald Hitz (photon)
2024-12-12T17:33:38.8863|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Connector version 2.0.3.0 by Stefan Berg
2024-12-12T17:33:39.1099|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Device Actions and Commands version 2.0.0.0 by Dale Ghent
2024-12-12T17:33:39.4012|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Filter Offset Calculator version 2.0.0.0 by S. Dimant & Stefan Berg
2024-12-12T17:33:39.6207|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Ground Station version 2.4.1.0 by Dale Ghent
