----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2024-12-30T14:49:46--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 12--------------------------
--------------------Total Physical Memory 27.89 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2024-12-30T14:49:45.9223|INFO|CameraChooserVM.cs|GetEquipment|69|Found 0 ASI Cameras
2024-12-30T14:49:46.4681|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2024-12-30T14:49:46.5761|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2024-12-30T14:49:46.5765|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2024-12-30T14:49:47.6615|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2024-12-30T14:49:47.7665|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2024-12-30T14:49:47.8304|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2024-12-30T14:49:47.9093|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2024-12-30T14:49:48.0456|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2024-12-30T14:49:48.1037|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2024-12-30T14:49:48.1048|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2024-12-30T14:49:48.7070|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 93.36 GB
2024-12-30T14:49:48.7071|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 4349.01 GB
