----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2024-12-01T15:09:27--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.22631---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 12--------------------------
--------------------Total Physical Memory 27.89 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2024-12-01T15:09:25.6186|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2024-12-01T15:09:27.8400|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2024-12-01T15:09:27.9421|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2024-12-01T15:09:27.9425|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2024-12-01T15:09:29.2600|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2024-12-01T15:09:29.2988|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2024-12-01T15:09:29.5954|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2024-12-01T15:09:29.9132|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2024-12-01T15:09:30.5302|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2024-12-01T15:09:30.9532|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2024-12-01T15:09:31.2942|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2024-12-01T15:09:31.5303|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 74.52 GB
2024-12-01T15:09:31.5304|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 4454.81 GB
2024-12-01T15:09:31.5313|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive E:\ is not ready
